,moduleLabels,moduleColors
Library Peptides,1,turquoise
NUDT4,0,grey
LV321,7,black
KV230,7,black
PAL4A,0,grey
QCR6L,1,turquoise
HVC33,7,black
HV374,7,black
HV372,7,black
PAL4C,0,grey
GAL3A,1,turquoise
HV108,7,black
KVD20,7,black
HV311,7,black
HV64D,7,black
UB2L5,3,brown
UBA6,3,brown
ESYT2,0,grey
UH1BL,0,grey
IGLC7,7,black
SHOT1,3,brown
ILVBL,0,grey
SPD2B,4,yellow
MACD2,1,turquoise
PIPSL,1,turquoise
NBAS,0,grey
SYTC2,4,yellow
VWA8,3,brown
WDR91,0,grey
PI4P2,1,turquoise
POTEF,0,grey
PSD1,0,grey
CRNS1,3,brown
MLP3B,0,grey
PGP,1,turquoise
PSAL,1,turquoise
RFOX3,0,grey
WIPF3,1,turquoise
DDTL,0,grey
TBAL3,0,grey
RP1BL,3,brown
PC4L1,1,turquoise
SHSA7,1,turquoise
AXA2L,5,green
TBB8L,3,brown
RHG32,1,turquoise
LYRM9,0,grey
GNAT3,4,yellow
F1712,0,grey
RUXG,1,turquoise
SNG2L,3,brown
HGB1A,1,turquoise
HNRC1,0,grey
EIFCL,0,grey
IGLC1,7,black
AK1BF,1,turquoise
NACA,0,grey
NDUCR,1,turquoise
CRCC2,0,grey
KIF2A,1,turquoise
KITM,1,turquoise
DX39A,1,turquoise
PDLI1,6,red
BACH,1,turquoise
MYO1C,0,grey
SNP23,1,turquoise
HAX1,1,turquoise
PLM,1,turquoise
AIP,3,brown
GTPB1,0,grey
LEG9,1,turquoise
STXB3,4,yellow
ARVC,0,grey
SMAP,0,grey
RB27B,0,grey
AP3B1,1,turquoise
APBB1,1,turquoise
NDUS8,1,turquoise
PSD11,0,grey
PSD12,0,grey
PSMD9,1,turquoise
SIRB1,1,turquoise
ATOX1,0,grey
PGRC1,0,grey
SPT5H,0,grey
DFFA,1,turquoise
HIP1,0,grey
CLIC1,5,green
EIF3F,0,grey
CACB4,1,turquoise
ODPX,1,turquoise
DCTN6,0,grey
WASL,1,turquoise
PDE2A,1,turquoise
IPO5,1,turquoise
EMAL1,0,grey
DNM1L,1,turquoise
RTCA,0,grey
SYT5,1,turquoise
GFRA2,1,turquoise
AGRIN,6,red
EXOC5,0,grey
BT3A3,0,grey
NDUA4,1,turquoise
PSDE,0,grey
BIN1,3,brown
IMA4,0,grey
USP9Y,0,grey
FAAH1,0,grey
NCHL1,1,turquoise
VMA5A,5,green
CAC1A,0,grey
DDX3X,0,grey
RNT2,0,grey
PODXL,4,yellow
S17A4,1,turquoise
PIR,1,turquoise
IMA3,0,grey
NET3,0,grey
PPP6,0,grey
UB2E2,1,turquoise
PDXK,1,turquoise
DLGP1,1,turquoise
PLPP3,0,grey
DHSD,1,turquoise
C2C2L,4,yellow
ASTN1,1,turquoise
DPYL4,1,turquoise
COX7R,1,turquoise
DC1I1,5,green
CTRO,1,turquoise
COPE,0,grey
NCAN,1,turquoise
IF1AY,0,grey
AP3D1,1,turquoise
ABLM1,0,grey
ADA10,3,brown
CDIPT,1,turquoise
PDCD5,0,grey
ANM5,0,grey
NHRF1,1,turquoise
TPP1,0,grey
GNB5,1,turquoise
TCRG1,0,grey
KIF3C,0,grey
TNPO2,1,turquoise
UN13B,1,turquoise
RASM,0,grey
CPLX1,1,turquoise
PSA7,0,grey
RGRF2,1,turquoise
SCAM3,1,turquoise
IFIT3,0,grey
MGST3,1,turquoise
TX1B3,4,yellow
GIPC1,1,turquoise
LIN7A,1,turquoise
CSKP,1,turquoise
PLD2,0,grey
QCR8,1,turquoise
ML12A,0,grey
QCR10,0,grey
HGS,5,green
DSCR3,0,grey
MYPT1,0,grey
GAK,0,grey
HNRDL,0,grey
XPO1,0,grey
AT2A1,1,turquoise
PI51B,1,turquoise
SYN3,1,turquoise
SPTN2,1,turquoise
PLXB2,5,green
RIMB2,1,turquoise
SR140,0,grey
N4BP3,1,turquoise
SYNJ2,1,turquoise
SYNEM,5,green
KIF3B,0,grey
PUR4,0,grey
DCLK1,1,turquoise
SNPH,1,turquoise
ARHGB,1,turquoise
NPC1,0,grey
SCAM1,1,turquoise
IMA6,0,grey
ARC1B,0,grey
ARPC2,1,turquoise
ARPC3,1,turquoise
PGRC2,1,turquoise
EPHB6,0,grey
PFD6,0,grey
LAMA5,6,red
VGF,1,turquoise
SURF4,0,grey
MK14,0,grey
SPTC1,0,grey
OGT1,1,turquoise
EIF3D,4,yellow
EIF3H,0,grey
BCAT2,1,turquoise
NCAM2,1,turquoise
STX7,1,turquoise
CAN5,0,grey
GLYG2,0,grey
YKT6,0,grey
ARPC5,1,turquoise
DDX3Y,0,grey
PDPK1,1,turquoise
FABP7,1,turquoise
DHX15,1,turquoise
ASAP2,0,grey
PLXB1,1,turquoise
PJA2,0,grey
SI1L1,1,turquoise
CYB5B,1,turquoise
SERA,4,yellow
NDUS4,1,turquoise
SEPT4,1,turquoise
DC1L2,3,brown
PSMD3,0,grey
ZW10,0,grey
PROD,0,grey
TGFI1,5,green
SRGP3,0,grey
HS12A,5,green
ADCY6,0,grey
RIPK2,1,turquoise
HNRPR,0,grey
TXNL1,3,brown
TPD54,0,grey
ERI3,0,grey
AN32C,1,turquoise
SYNJ1,1,turquoise
IF4G3,0,grey
PPIH,0,grey
ARK72,1,turquoise
E41L2,4,yellow
B4GA1,1,turquoise
KCNQ2,0,grey
RGS14,0,grey
AKA10,0,grey
SYT7,1,turquoise
DENR,0,grey
XPOT,1,turquoise
DNPH1,3,brown
DCX,1,turquoise
TIM44,1,turquoise
TPPC3,5,green
CHM2A,0,grey
NCK2,1,turquoise
NDUB5,1,turquoise
NDUB3,1,turquoise
NDUA2,1,turquoise
ASNA,0,grey
BUB3,0,grey
ACTN4,1,turquoise
CYH3,5,green
AAKB2,0,grey
AP1G1,1,turquoise
STX6,0,grey
SNG1,1,turquoise
SNG2,3,brown
SNG3,1,turquoise
SGTA,3,brown
ENSA,1,turquoise
SYNC,0,grey
KRT86,0,grey
CPSF5,0,grey
LANC1,3,brown
STRN,1,turquoise
SCO2,0,grey
CF410,0,grey
IDH3B,1,turquoise
NRDC,0,grey
CALU,0,grey
EDIL3,3,brown
SAHH2,0,grey
CD5L,0,grey
KIF1C,0,grey
NDUS5,1,turquoise
PEX1,0,grey
KALRN,0,grey
GMFG,0,grey
MYPT2,0,grey
PCDH7,1,turquoise
KPRB,4,yellow
GBG7,1,turquoise
K0513,1,turquoise
JIP4,0,grey
KIF5C,5,green
MAST3,0,grey
OPA1,1,turquoise
PI51C,1,turquoise
KIF1B,0,grey
CCG3,1,turquoise
NDK8,0,grey
GSDME,0,grey
PLXC1,1,turquoise
SNX3,4,yellow
OGA,0,grey
ADCY9,0,grey
HNRPQ,0,grey
RNBP6,1,turquoise
GMDS,0,grey
NMT2,0,grey
AP180,1,turquoise
EXOC3,1,turquoise
PLIN3,4,yellow
MOT2,0,grey
IMA7,0,grey
CTND1,4,yellow
EIF1B,0,grey
HCN1,0,grey
SNX2,0,grey
USO1,0,grey
TOM1,0,grey
H2B1L,4,yellow
F262,1,turquoise
CCD22,0,grey
PRAF2,0,grey
DKC1,4,yellow
IF2P,0,grey
GAS7,1,turquoise
EDF1,0,grey
DIAP2,0,grey
G37L1,1,turquoise
DNJA2,1,turquoise
PFD1,1,turquoise
SCN2B,1,turquoise
DTNB,0,grey
KI21B,1,turquoise
SRGP2,0,grey
PLXA2,1,turquoise
AUXI,1,turquoise
ADA23,3,brown
ADA11,0,grey
WDR1,5,green
ATP9A,1,turquoise
ROCK2,1,turquoise
CLAP2,6,red
CPNE3,0,grey
LIPA3,1,turquoise
HIP1R,3,brown
CLU,0,grey
CAND2,1,turquoise
DJC13,0,grey
PP6R2,1,turquoise
DNJB6,0,grey
COQ9,1,turquoise
GGCT,1,turquoise
NDUS7,1,turquoise
NDUS2,1,turquoise
UBP12,0,grey
NIPS2,1,turquoise
LIPA2,1,turquoise
LIPA4,1,turquoise
PDCD6,3,brown
TBCA,4,yellow
VATG1,1,turquoise
VPS4B,3,brown
MPU1,0,grey
ENTP3,0,grey
BCAS1,3,brown
H2AY,1,turquoise
SH3L1,1,turquoise
FLNB,5,green
NDUS6,1,turquoise
PEX14,0,grey
TRIM3,1,turquoise
CISY,1,turquoise
SC22B,1,turquoise
GGYF1,1,turquoise
MTX2,1,turquoise
VP26A,1,turquoise
NDUB1,1,turquoise
MPPB,1,turquoise
PSIP1,0,grey
ERLN1,1,turquoise
GPC4,0,grey
NDUS3,1,turquoise
CLD11,3,brown
ECI2,0,grey
KHDR3,0,grey
RMXL2,0,grey
SF3B1,0,grey
CSDE1,5,green
PRKRA,0,grey
KS6A5,0,grey
MYCB2,0,grey
CREG1,0,grey
U520,0,grey
TIPRL,1,turquoise
PPM1B,5,green
ADAP1,3,brown
XRP2,4,yellow
CMC1,1,turquoise
PALM,1,turquoise
RENR,4,yellow
EIF3J,0,grey
CBR3,3,brown
SPI2,1,turquoise
PSD10,4,yellow
FACE1,0,grey
IDHC,1,turquoise
SCO1,1,turquoise
RBBP9,1,turquoise
STAM2,0,grey
AL1L1,0,grey
TUSC2,3,brown
GABR2,1,turquoise
DGKI,1,turquoise
PAK3,1,turquoise
PRAF3,1,turquoise
DCTN3,3,brown
BODG,1,turquoise
DNJC8,0,grey
ATP5H,1,turquoise
FLOT1,1,turquoise
TRIO,0,grey
ATP5L,1,turquoise
MPDZ,0,grey
GLRX3,0,grey
KT33A,0,grey
KRT34,0,grey
KRT37,9,magenta
KRT38,9,magenta
WFS1,5,green
CDKL5,1,turquoise
NEBL,0,grey
S14L2,0,grey
SYUG,1,turquoise
RGS20,1,turquoise
SRP72,0,grey
DDAH1,1,turquoise
LY6H,1,turquoise
AL1A2,0,grey
TPPP,3,brown
BAIP3,0,grey
SLIT2,0,grey
KBTBB,1,turquoise
TOM70,1,turquoise
DDHD2,0,grey
MYO1D,3,brown
NFASC,3,brown
SRBS2,6,red
PLPHP,0,grey
ERLN2,1,turquoise
AGRL1,1,turquoise
ABCA8,0,grey
ENDD1,3,brown
CDK14,0,grey
GLSK,1,turquoise
FBX21,0,grey
WDR47,1,turquoise
AP2A2,1,turquoise
SC31A,0,grey
CSTN1,1,turquoise
DIRA1,1,turquoise
AGFG2,1,turquoise
NDUB6,1,turquoise
MFN2,1,turquoise
ARK73,0,grey
UBL3,1,turquoise
NDUB4,1,turquoise
NDUB8,1,turquoise
NDUA7,1,turquoise
CSPG5,0,grey
RTN3,1,turquoise
LETM1,1,turquoise
EPN2,3,brown
ZRAB2,0,grey
SNX4,1,turquoise
MTMR5,1,turquoise
TNKS1,0,grey
VAPB,1,turquoise
RASL1,0,grey
SNAPN,1,turquoise
NDUC2,1,turquoise
NDUAA,1,turquoise
CELF2,0,grey
6PGL,1,turquoise
ATG7,1,turquoise
LYPA2,0,grey
IPO7,0,grey
AGM1,4,yellow
MOCS3,0,grey
UTS2,0,grey
AHSA1,3,brown
SC24B,0,grey
NPTXR,1,turquoise
MPC2,1,turquoise
ETHE1,0,grey
ACSL3,1,turquoise
NET1,0,grey
VATG2,1,turquoise
ASML,0,grey
CDS2,0,grey
K2C75,9,magenta
RAB3D,1,turquoise
SNP29,0,grey
CPNE6,1,turquoise
OXSR1,3,brown
HS74L,1,turquoise
AP2A1,1,turquoise
CAVN2,0,grey
BAG3,1,turquoise
M4K4,0,grey
DCMC,1,turquoise
AIFM1,1,turquoise
GNA14,3,brown
UCP4,1,turquoise
NUD14,1,turquoise
TSN15,3,brown
BPNT1,1,turquoise
DDAH2,1,turquoise
G6B,0,grey
ABHGA,1,turquoise
FRITZ,1,turquoise
TXD12,0,grey
DLGP3,1,turquoise
LGI1,1,turquoise
NUDT3,1,turquoise
NDUBA,1,turquoise
CLPT1,1,turquoise
TOM40,1,turquoise
PX11B,1,turquoise
CYB,1,turquoise
CYB5,4,yellow
LDHA,1,turquoise
AL1A1,1,turquoise
DHE3,0,grey
NB5R3,0,grey
GSHR,0,grey
COX2,1,turquoise
COX3,1,turquoise
SODC,0,grey
CERU,7,black
F13A,5,green
PNPH,5,green
HPRT,1,turquoise
AATM,1,turquoise
EGFR,0,grey
PGK1,0,grey
KAD1,1,turquoise
THRB,0,grey
HPT,7,black
HPTR,7,black
CFAD,0,grey
PLMN,6,red
CFAB,6,red
ADA,3,brown
ATP6,1,turquoise
CAH1,5,green
CAH2,4,yellow
ENO1,0,grey
ASSY,1,turquoise
ANT3,7,black
A1AT,7,black
AACT,7,black
ANGT,1,turquoise
A2MG,7,black
CO3,7,black
CYTC,4,yellow
RASN,3,brown
RASH,3,brown
RASK,3,brown
IGJ,7,black
KV320,7,black
HV348,7,black
HV323,7,black
HV313,7,black
HV330,7,black
HV307,7,black
IGK,7,black
IGG1,7,black
IGHG2,7,black
IGHG3,7,black
IGHG4,7,black
IGHM,7,black
IGHA1,7,black
IGHA2,7,black
1B07,8,pink
1A34,8,pink
1A02,8,pink
HLAH,8,pink
HBAZ,5,green
HBD,5,green
HBE,0,grey
CO1A1,6,red
CO3A1,6,red
CO4A1,6,red
CRYAB,3,brown
K1C14,9,magenta
K2C6A,9,magenta
LMNA,1,turquoise
SPTA1,0,grey
APOA1,7,black
APOE,0,grey
APOA2,6,red
APOC3,7,black
FIBA,7,black
FIBB,7,black
FIBG,7,black
MBP,3,brown
MYP2,3,brown
B3AT,5,green
CRP,7,black
SAMP,7,black
C1QB,0,grey
C1QC,0,grey
CO9,7,black
APOH,7,black
A2GL,0,grey
FINC,6,red
AMBP,6,red
A1AG1,7,black
TTHY,6,red
ALBU,7,black
VTDB,7,black
TFR1,0,grey
TRFE,3,brown
TRFL,1,turquoise
HEMO,7,black
FRIL,1,turquoise
FRIH,3,brown
MT1G,0,grey
NU1M,1,turquoise
NU2M,1,turquoise
NU3M,1,turquoise
NU4M,1,turquoise
NU5M,0,grey
1B27,8,pink
C4BPA,7,black
CATA,1,turquoise
GLCM,0,grey
ALDOA,1,turquoise
CYTB,1,turquoise
ANXA1,5,green
APOB,0,grey
PRIO,1,turquoise
SODM,1,turquoise
OAT,5,green
THY1,1,turquoise
1C03,8,pink
K2C6B,9,magenta
K2C1,9,magenta
S100B,4,yellow
VWF,0,grey
TBB4A,0,grey
G3P,0,grey
1A03,8,pink
CPNS1,1,turquoise
MT1E,0,grey
MT1F,0,grey
AMY1,0,grey
AMYP,0,grey
HSPB1,5,green
RPN1,1,turquoise
GNAI2,4,yellow
H2A1C,3,brown
AT1A1,1,turquoise
AT1B1,1,turquoise
SCG1,1,turquoise
ALDOB,1,turquoise
A4,0,grey
APOD,3,brown
ALDH2,0,grey
S10A8,1,turquoise
HMGN1,1,turquoise
KPCG,1,turquoise
ADT2,1,turquoise
IC1,7,black
ISG15,0,grey
PCCA,1,turquoise
PCCB,1,turquoise
CP2E1,1,turquoise
IF2A,0,grey
HMGN2,4,yellow
FGF1,1,turquoise
ICAM1,5,green
RLA1,0,grey
RLA2,1,turquoise
RLA0,0,grey
FABPH,5,green
LA,1,turquoise
1A23,8,pink
ITB1,5,green
KPCB,1,turquoise
K2C8,5,green
CALB1,0,grey
MYL1,0,grey
DCUP,0,grey
INSR,0,grey
LCK,0,grey
FYN,0,grey
GELS,4,yellow
PTMA,1,turquoise
CDK12,0,grey
ATPB,1,turquoise
S10A9,5,green
S10A6,5,green
APOA4,0,grey
IF4E,0,grey
KCRM,0,grey
ENOA,5,green
PYGL,1,turquoise
G6PI,1,turquoise
NPM,0,grey
TPM3,0,grey
ITAV,5,green
H2B2E,4,yellow
HYEP,1,turquoise
ACBP,1,turquoise
LDHB,0,grey
NFL,3,brown
NFM,3,brown
GPX1,0,grey
PGK2,0,grey
PDIA1,0,grey
H10,4,yellow
ACYP1,0,grey
CATD,0,grey
ANXA2,5,green
CO8A,0,grey
CAN1,1,turquoise
TBB5,3,brown
MT1L,0,grey
PGS2,6,red
SAP,0,grey
HEXB,0,grey
PROF1,4,yellow
PMGE,0,grey
APT,1,turquoise
SYEP,0,grey
CATB,0,grey
LDHC,0,grey
HS90A,3,brown
HNRPC,0,grey
QCR6,1,turquoise
LAMB1,0,grey
YES,0,grey
LYN,0,grey
TPM2,6,red
FUMH,1,turquoise
RNAS1,3,brown
CO1A2,6,red
ANXA6,3,brown
RHOC,3,brown
4F2,3,brown
PFKAM,1,turquoise
HS90B,0,grey
ELNE,0,grey
SYPH,1,turquoise
SODE,6,red
ODPA,1,turquoise
CD14,0,grey
CO4A2,6,red
CY1,1,turquoise
MYL3,0,grey
CFAH,7,black
HCK,1,turquoise
VIME,5,green
RS17,0,grey
K1C19,9,magenta
K2C7,5,green
GNAI3,4,yellow
ANXA5,1,turquoise
K1C16,9,magenta
RSSA,0,grey
CD63,0,grey
FGF2,5,green
ENOG,1,turquoise
THIK,0,grey
GSTP1,4,yellow
RU1C,0,grey
LEG1,1,turquoise
DHPR,3,brown
HMGB1,1,turquoise
RET1,3,brown
GNAO,1,turquoise
GSTM1,0,grey
TPM1,6,red
CLCA,1,turquoise
CLCB,1,turquoise
ANXA4,1,turquoise
CN37,3,brown
PGFRB,0,grey
DLDH,1,turquoise
ROA1,0,grey
RU2A,1,turquoise
COX6C,1,turquoise
FGR,1,turquoise
C1S,0,grey
PARP1,4,yellow
IFIT2,0,grey
IFIT1,0,grey
UCHL1,1,turquoise
LKHA4,1,turquoise
ALDOC,1,turquoise
CO4A,5,green
CO4B,5,green
H2AV,3,brown
H2AJ,3,brown
CLC2L,0,grey
CISD3,1,turquoise
UCRIL,1,turquoise
JMJD7,0,grey
IGLC6,7,black
GST2,0,grey
GSTT2,0,grey
POTEI,0,grey
POTEJ,0,grey
UBC,3,brown
SAA1,7,black
SAA2,7,black
MPC1L,1,turquoise
SET,0,grey
HS71A,0,grey
PAL4G,0,grey
U2AF5,0,grey
CBSL,1,turquoise
IGA2,7,black
IGM,7,black
IGL1,7,black
IGLC3,7,black
CALM2,0,grey
LYNX1,3,brown
TBA3D,0,grey
RAP2A,1,turquoise
RO60,4,yellow
LYAG,0,grey
RRAS,5,green
1A74,8,pink
1A69,8,pink
1B58,8,pink
1C07,8,pink
H14,4,yellow
OSTP,0,grey
ODP2,1,turquoise
PTPRF,6,red
THIO,0,grey
COX5B,1,turquoise
MGST1,5,green
TAU,1,turquoise
KAP0,4,yellow
CMGA,0,grey
KIT,0,grey
ESTD,1,turquoise
CH60,1,turquoise
CLUS,5,green
HPLN1,1,turquoise
BIP,0,grey
LAMC1,6,red
PPAL,0,grey
MTAP2,1,turquoise
HSP7C,3,brown
GTR1,5,green
GTR3,1,turquoise
41,3,brown
ODPB,1,turquoise
ODB2,1,turquoise
ITAM,0,grey
PYGB,0,grey
PYGM,0,grey
ACM1,1,turquoise
RALA,3,brown
RALB,3,brown
BCR,1,turquoise
SPTB1,0,grey
LAMP1,1,turquoise
ACADM,0,grey
ICK,0,grey
G6PD,4,yellow
UBL4A,0,grey
GNAT2,0,grey
PYC,0,grey
DMD,5,green
C1TC,0,grey
ADHX,1,turquoise
CDK4,0,grey
PRPS2,4,yellow
PABP1,0,grey
K2C3,9,magenta
NFH,3,brown
SYHC,0,grey
CO6A1,6,red
CO6A2,6,red
CO6A3,6,red
ADT1,1,turquoise
ADT3,1,turquoise
IMDH2,4,yellow
TPR,0,grey
KCRB,1,turquoise
ANXA3,6,red
KCRU,1,turquoise
ODBA,0,grey
ACTN1,1,turquoise
SRC,0,grey
PEPD,0,grey
XRCC6,1,turquoise
XRCC5,1,turquoise
COX41,1,turquoise
IFM2,5,green
LAMP2,3,brown
RINI,4,yellow
SCG2,1,turquoise
NCAM1,1,turquoise
CSPG2,3,brown
AT1A3,1,turquoise
EF2,0,grey
K1C10,9,magenta
K1C13,9,magenta
K2C5,9,magenta
PDIA4,1,turquoise
TCTP,1,turquoise
HEM2,1,turquoise
TF,3,brown
1A11,8,pink
HLAE,8,pink
PLSL,1,turquoise
PLST,3,brown
ACPH,0,grey
ETFA,1,turquoise
GYS1,0,grey
KAP2,1,turquoise
ENOB,0,grey
CD59,0,grey
GFAP,5,green
MIF,3,brown
FOLR2,1,turquoise
CD99,1,turquoise
GLU2B,0,grey
FPPS,4,yellow
CBPM,3,brown
CX7A2,1,turquoise
AT1B2,0,grey
NID1,6,red
AK1A1,4,yellow
KPYM,3,brown
ACYP2,4,yellow
ENPL,0,grey
MYL6B,1,turquoise
RSMB,1,turquoise
IDE,0,grey
CX6B1,1,turquoise
HNRPL,0,grey
GBRA1,1,turquoise
SYDC,1,turquoise
PLAK,9,magenta
QCR7,1,turquoise
BRAF,1,turquoise
FABP4,3,brown
GLNA,1,turquoise
ALDR,1,turquoise
RAC2,3,brown
ERF3A,0,grey
PGAM2,0,grey
ARSA,0,grey
EZRI,1,turquoise
VATB1,1,turquoise
UCHL3,1,turquoise
ELN,6,red
NDKA,0,grey
NQO1,0,grey
RS2,0,grey
CHIN,0,grey
DESP,9,magenta
RFA2,0,grey
COX7C,1,turquoise
CD44,1,turquoise
NQO2,0,grey
H2AX,3,brown
PGCA,3,brown
F261,1,turquoise
ITB4,5,green
CBR1,4,yellow
ANK1,1,turquoise
1A30,8,pink
1A29,8,pink
1A33,8,pink
ACADS,0,grey
NLK,0,grey
BGAL,0,grey
PECA1,0,grey
PP2BB,1,turquoise
KCNA2,3,brown
H15,1,turquoise
H13,4,yellow
H12,4,yellow
NCPR,1,turquoise
NEC2,1,turquoise
GBB3,1,turquoise
AT2A2,1,turquoise
CBPE,1,turquoise
FAAA,5,green
STMN1,3,brown
HSP76,0,grey
RHOQ,3,brown
TMM11,1,turquoise
AATC,1,turquoise
KPCA,0,grey
